Date,New Cases,Total Cases,New Deaths,Total Deaths
2020-03-02,2,2,0,0
2020-03-03,0,2,0,0
2020-03-04,0,2,0,0
2020-03-05,0,2,0,0
2020-03-06,2,4,0,0
2020-03-07,0,4,0,0
2020-03-08,2,6,0,0
2020-03-09,13,19,0,0
2020-03-10,8,27,0,0
2020-03-11,7,34,1,1
2020-03-12,0,34,0,1
2020-03-13,35,69,3,4
2020-03-14,27,96,1,5
2020-03-15,21,117,0,5
2020-03-16,17,134,0,5
2020-03-17,38,172,0,5
2020-03-18,55,227,14,19
2020-03-19,82,309,6,25
2020-03-20,60,369,7,32
2020-03-21,81,450,6,38
2020-03-22,64,514,10,48
2020-03-23,65,579,1,49
2020-03-24,106,685,6,55
2020-03-25,105,790,3,58
2020-03-26,103,893,20,78
2020-03-27,153,1046,9,87
2020-03-28,109,1155,15,102
2020-03-29,130,1285,12,114
2020-03-30,129,1414,8,122
2020-03-31,114,1528,14,136
2020-04-01,149,1677,21,157
2020-04-02,113,1790,13,170
2020-04-03,196,1986,11,181
2020-04-04,106,2092,10,191
2020-04-05,181,2273,7,198
2020-04-06,218,2491,11,209
2020-04-07,247,2738,12,221
2020-04-08,218,2956,19,240
2020-04-09,337,3293,40,280
2020-04-10,219,3512,26,306
2020-04-11,330,3842,21,327
2020-04-12,399,4241,46,373
2020-04-13,316,4557,26,399
2020-04-14,282,4839,60,459
2020-04-15,297,5136,10,469
2020-04-16,380,5516,27,496
2020-04-17,407,5923,24,520
2020-04-18,325,6248,15,535
2020-04-19,327,6575,47,582
2020-04-20,185,6760,8,590
2020-04-21,375,7135,26,616
2020-04-22,283,7418,19,635
2020-04-23,357,7775,12,647
2020-04-24,436,8211,42,689
2020-04-25,396,8607,31,720
2020-04-26,275,8882,23,743
2020-04-27,214,9096,22,765
2020-04-28,415,9511,8,773
2020-04-29,260,9771,11,784
2020-04-30,347,10118,8,792
2020-05-01,433,10551,8,800
2020-05-02,292,10843,31,831
2020-05-03,349,11192,14,845
2020-05-04,395,11587,19,864
2020-05-05,484,12071,8,872
2020-05-06,367,12438,23,895
2020-05-07,338,12776,35,930
2020-05-08,336,13112,13,943
2020-05-09,533,13645,16,959
2020-05-10,387,14032,14,973
2020-05-11,233,14265,18,991
2020-05-12,484,14749,16,1007
2020-05-13,689,15438,21,1028
2020-05-14,568,16006,15,1043
2020-05-15,490,16496,33,1076
2020-05-16,529,17025,13,1089
2020-05-17,489,17514,59,1148
2020-05-18,496,18010,43,1191
2020-05-19,486,18496,30,1221
2020-05-20,693,19189,21,1242
2020-05-21,973,20162,36,1278
2020-05-22,634,20796,48,1326
2020-05-23,949,21745,25,1351
2020-05-24,526,22271,21,1372
2020-05-25,479,22750,19,1391
2020-05-26,415,23165,27,1418
2020-05-27,686,23851,55,1473
2020-05-28,687,24538,23,1496
2020-05-29,678,25216,24,1520
2020-05-30,557,25773,53,1573
2020-05-31,700,26473,40,1613
2020-06-01,467,26940,28,1641
2020-06-02,609,27549,22,1663
2020-06-03,684,28233,35,1698
2020-06-04,585,28818,23,1721
2020-06-05,703,29521,49,1770
2020-06-06,993,30514,31,1801
2020-06-07,672,31186,50,1851
2020-06-08,847,32033,32,1883
2020-06-09,1042,33075,40,1923
2020-06-10,1241,34316,36,1959
2020-06-11,979,35295,41,2000
2020-06-12,1111,36406,48,2048
2020-06-13,1014,37420,43,2091
2020-06-14,857,38277,43,2134
2020-06-15,1017,39294,64,2198
2020-06-16,1106,40400,33,2231
2020-06-17,1031,41431,45,2276
2020-06-18,1331,42762,63,2339
2020-06-19,1041,43803,34,2373
2020-06-20,1226,45029,56,2429
2020-06-21,862,45891,36,2465
2020-06-22,954,46845,35,2500
2020-06-23,1051,47896,35,2535
2020-06-24,1113,49009,38,2573
2020-06-25,1178,50187,47,2620
2020-06-26,1240,51427,63,2683
2020-06-27,1385,52812,37,2720
2020-06-28,1198,54010,34,2754
2020-06-29,1082,55092,51,2805
2020-06-30,1293,56385,71,2876
2020-07-01,1385,57770,58,2934
2020-07-02,1624,59394,53,2987
2020-07-03,1301,60695,49,3036
2020-07-04,1447,62142,53,3089
2020-07-05,1607,63749,82,3171
2020-07-06,1209,64958,70,3241
2020-07-07,1268,66226,68,3309
2020-07-08,1853,68079,50,3359
2020-07-09,2657,70736,58,3417
2020-07-10,1611,72347,52,3469
2020-07-11,1671,74018,66,3535
2020-07-12,1681,75699,71,3606
2020-07-13,1282,76981,50,3656
2020-07-14,1591,78572,54,3710
2020-07-15,1522,80094,87,3797
2020-07-16,1574,81668,76,3873
2020-07-17,1462,83130,84,3957
2020-07-18,1752,84882,59,4016
2020-07-19,1639,86521,127,4143
2020-07-20,1693,88214,96,4239
2020-07-21,1655,89869,81,4320
2020-07-22,1882,91751,139,4459
2020-07-23,1906,93657,117,4576
2020-07-24,1761,95418,89,4665
2020-07-25,1868,97286,49,4714
2020-07-26,1492,98778,67,4781
2020-07-27,1525,100303,57,4838
